x,y,timestamp
500.223463164431,499.6800779156707,2514.7000000029802
503.29249139666484,498.85834421217663,3760.0999999940395
508.69541626905345,499.12827657134176,4524.4000000059605
486.6142247975026,489.6717623879045,5284.0999999940395
492.816861514412,464.48180783070285,6013.5999999940395
530.6688437308283,437.8361067369207,7204.70000000298
551.7530460230305,417.58140305372024,7876.79999999702
602.3763364143158,379.69877224232874,8557.90000000596
440.1570171664091,204.42988895865338,33069.29999999702
556.6253738088591,160.2387737582667,33716.09999999404
611.7501648920778,172.40769557488403,34387.90000000596
427.98880400615036,228.30903939761959,35052.29999999702
442.5816597820529,378.2420696912363,35695.20000000298
544.577399008503,470.6566867990164,36355.29999999702
