x,y,timestamp
615.8100112202077,323.87403554498866,9231.59999999404
705.9496356348923,287.6806752843936,9889.70000000298
768.0582711228933,305.88022072953487,10549.29999999702
608.1512636415969,253.81132393229367,11216.70000000298
838.4648874965376,227.37664145773275,11918.20000000298
831.0398472140743,230.8382043936387,12620.09999999404
941.2234233392843,229.7112684309155,13542.09999999404
968.9935299656772,261.2704129468886,14245.20000000298
908.4231712548218,269.8491552400699,14977.79999999702
801.5418442149977,231.94059600893942,15654.09999999404
992.8671672793232,241.29739549276636,16339.90000000596
1198.5576318751655,236.72349434232657,17042.40000000596
1125.0250844868197,221.93159031760194,17718.90000000596
1113.1245859395287,273.1530402608965,18390.29999999702
