x,y,timestamp
1153.6373330276137,327.3050854625769,19086.20000000298
1052.1375250941685,240.82942408720197,19893.40000000596
1139.092648085087,193.64143700572097,20584
1114.5240762344624,156.26039051966978,21285
1137.9541111221556,197.9999027241468,21942.29999999702
1015.3141182430775,291.5739509771623,22591.40000000596
853.8119996436807,323.3503591638209,23250.5
817.8698331092473,349.49786522081416,23891
621.073481420052,369.40266326201595,24528.79999999702
694.0855361194905,367.00009772682205,25162.20000000298
668.2627627393138,368.5576790735071,25795.90000000596
485.33631246876405,361.73138423743416,26443.90000000596
681.4104655432436,397.9438731307339,27190.59999999404
640.5451681929502,417.64455475617063,27842
407.3405036191467,472.81678946240106,28491.79999999702
472.692276705578,483.1627802563735,29138.29999999702
314.9080357079266,483.22115621044,29781
263.7891536347538,512.1172386538499,30432.70000000298
472.6543297287818,407.7554588012511,31113.70000000298
490.00360982686675,381.99040778997966,31757.29999999702
521.2180192881751,289.26771154477706,32401
